,Flight name,Departure_time,Arrival_time,Price,Source,Destination,Duration,No of stop,Date
0,Go First,05:45,12:10,5985,Bengaluru,Delhi,6h 25m,1,2021-11-28
1,Go First,15:35,23:00,5985,Bengaluru,Delhi,7h 25m,1,2021-11-28
2,Go First,11:00,19:55,5985,Bengaluru,Delhi,8h 55m,1,2021-11-28
3,Go First,22:00,08:10,5985,Bengaluru,Delhi,10h 10m,1,2021-11-28
4,Go First,15:45,02:10,5985,Bengaluru,Delhi,10h 25m,1,2021-11-28
5,Go First,08:10,20:10,5985,Bengaluru,Delhi,12h,1,2021-11-28
6,Go First,22:00,10:10,5985,Bengaluru,Delhi,12h 10m,1,2021-11-28
7,Go First,20:00,08:30,5985,Bengaluru,Delhi,12h 30m,1,2021-11-28
8,Go First,06:30,19:15,5985,Bengaluru,Delhi,12h 45m,1,2021-11-28
9,Go First,22:00,12:10,5985,Bengaluru,Delhi,14h 10m,1,2021-11-28
10,Go First,08:10,22:25,5985,Bengaluru,Delhi,14h 15m,1,2021-11-28
11,Go First,05:45,20:10,5985,Bengaluru,Delhi,14h 25m,1,2021-11-28
12,SpiceJet,05:40,00:25,6974,Bengaluru,Delhi,18h 45m,1,2021-11-28
13,Air Asia,07:05,12:25,7486,Bengaluru,Delhi,5h 20m,1,2021-11-28
14,Air Asia,11:45,17:50,7486,Bengaluru,Delhi,6h 5m,1,2021-11-28
15,Air Asia,05:40,12:00,7486,Bengaluru,Delhi,6h 20m,1,2021-11-28
16,Air Asia,09:15,16:15,7486,Bengaluru,Delhi,7h,1,2021-11-28
17,Air Asia,17:30,00:35,7486,Bengaluru,Delhi,7h 5m,1,2021-11-28
18,Air Asia,12:50,20:10,7486,Bengaluru,Delhi,7h 20m,1,2021-11-28
19,Air Asia,18:30,02:10,7486,Bengaluru,Delhi,7h 40m,1,2021-11-28
20,Air Asia,12:50,20:50,7486,Bengaluru,Delhi,8h,1,2021-11-28
21,Air Asia,07:05,16:15,7486,Bengaluru,Delhi,9h 10m,1,2021-11-28
22,Air Asia,15:55,01:10,7486,Bengaluru,Delhi,9h 15m,1,2021-11-28
23,Air Asia,15:15,00:35,7486,Bengaluru,Delhi,9h 20m,1,2021-11-28
24,Air Asia,09:15,20:05,7486,Bengaluru,Delhi,10h 50m,1,2021-11-28
25,Air Asia,23:10,10:05,7486,Bengaluru,Delhi,10h 55m,1,2021-11-28
26,Air Asia,22:55,10:05,7486,Bengaluru,Delhi,11h 10m,1,2021-11-28
27,Go First,07:40,10:30,7487,Bengaluru,Delhi,2h 50m,Non,2021-11-28
28,Go First,21:00,23:50,7487,Bengaluru,Delhi,2h 50m,Non,2021-11-28
29,Go First,17:00,21:50,7487,Bengaluru,Delhi,4h 50m,1,2021-11-28
30,SpiceJet,21:55,00:35,7488,Bengaluru,Delhi,2h 40m,Non,2021-11-28
31,SpiceJet,05:55,08:40,7488,Bengaluru,Delhi,2h 45m,Non,2021-11-28
